country_code,country_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ATG,Antigua and Barbuda,0.158706983,0.165192678,0.186225627,0.187804363,0.17375398,0.19834187,0.18636094,0.200301337,0.2052871,0.210726536,0.214135681,0.197458357,0.231368966,0.167992327,0.187402221,0.191615149,0.197563046,0.233038564,0.244592283,0.244310062,0.24662033,0.248255018,0.249958457,0.247083733,0.263747337,0.272793605,0.27128979,0.283119631,0.288699553,0.292231531,0.225424162,0.222876346,0.240703094,0.255085738,0.258757993,0.265191525,0.288696552,0.307000164,0.322741158,0.357368213,0.347387443,0.27968214,0.293987033,0.327366059,0.347745558,0.359297342,0.384160164,0.34613378,0.355690919,0.409907472,0.393103442,0.399072324,0.411195345,0.415083112,0.426850998
AUS,Australia,315.6704776,321.9528769,334.1090075,341.3932689,355.8627745,365.1879916,368.2811678,374.8116606,365.7420513,369.7497137,376.8546327,380.0960554,388.5880229,376.0471672,390.3264169,403.3570857,408.614019,419.1159163,429.7091687,451.0102886,460.6999112,463.5076775,465.5236134,470.0598241,474.1460563,482.243936,495.3143152,508.1079134,529.1568628,535.8085052,545.7081563,555.2469894,564.9522899,553.8086433,575.6458189,577.2283024,584.4288393,592.2353105,590.4227159,597.6317331,598.7525371,610.7350003,614.8510616,604.9249664,597.2002503,600.7501598,595.9681248,612.9425235,608.0656138,605.1539774,579.5474495,576.189057,571.780759,587.5131026,591.4539607
AUT,Austria,71.60092943,74.75662965,76.95956629,80.72251291,78.48430076,75.95994164,81.41328382,78.8097759,80.82217383,83.51360326,81.63910164,77.96374262,75.79462663,75.66801687,78.13638418,79.52047011,77.95159648,78.10978826,76.93074319,76.21618846,80.17747315,84.42563766,78.95863026,78.95707374,79.39601993,82.2785837,86.27872941,85.4906496,85.61857468,83.55817603,83.68144706,88.57586577,90.36286515,95.15316079,95.93427335,96.42670709,93.98855926,91.0048224,90.59759013,82.99700659,89.12104997,87.32995858,83.97744465,84.49032715,80.82063687,82.26171289,82.700769,84.85767391,81.79260823,83.13422792,76.97265622,80.07809389,76.07922329,71.59634239,70.99990351
AZE,Azerbaijan,32.54080866,32.88204864,34.72728369,37.14171705,39.59469892,42.36105317,43.47724173,44.80430093,46.92843906,48.4806082,50.64692588,51.8957847,52.77735882,53.80605477,54.73139159,55.57724798,56.64598189,57.72187286,57.53339987,57.60742015,67.67339457,65.86329178,55.32923546,49.01530476,43.49825319,42.67110844,37.26897945,36.55521083,36.9845829,37.96156908,39.6877718,39.02772293,38.87451576,41.69014069,41.66536872,44.53941647,46.21814976,46.628333,51.14185443,45.50491869,44.48502821,46.92378669,50.0285973,51.26249554,53.09415132,52.97148842,52.69874434,52.42593985,53.13645541,55.94329638,54.33382336,56.59608685,59.23625954,60.9918237,58.27978532
BDI,Burundi,2.120808597,2.115586634,2.212697532,2.26645521,2.288316555,2.371218826,2.384794633,2.396062002,2.428499603,2.504590709,2.263593112,2.063615928,2.108090954,2.148986924,2.227943523,2.181870958,2.367567811,2.399794587,2.536932369,2.570794413,3.04647378,3.179523819,3.134018693,3.187549854,3.162476674,3.286267272,3.393107691,3.445779639,3.426353842,2.98633605,3.051811752,3.034128779,3.002957196,3.043638759,3.195369879,3.310225324,3.514883777,3.78631138,3.771340087,4.00970862,4.363100427,4.633921095,4.631059979,5.75049801,5.70384261,5.691153207,6.025865901,6.713538954,7.017279317,6.757385667,6.761679317,7.904715388,7.70986071,8.187161724,8.42172401
BEL,Belgium,167.270014,157.6726736,169.1694107,174.9869159,175.3104278,155.8749487,165.2789796,163.973867,168.2352699,177.5401609,166.8537663,155.2082618,146.8963106,137.5962192,141.6990421,139.148385,138.8539506,137.9373237,138.3293472,139.1979664,140.5727976,144.6316379,142.3644848,140.4152836,147.6956857,148.707131,154.2449283,150.6860817,154.4092303,150.4798681,151.9065942,152.158283,144.524627,148.3047224,147.1196645,143.9154809,140.4689293,137.8950115,139.5855403,132.0521679,140.4950056,129.9050118,128.0588538,129.2314693,122.5120316,127.1924143,126.1031205,124.0805771,124.6967165,124.3926119,115.6721225,119.5214178,111.9883824,107.2262636,107.8240202
BEN,Benin,2.517571086,2.45643216,2.662177655,2.803692658,2.779516721,2.965606851,2.828093471,2.946603654,3.042073559,3.162310729,3.319862901,3.512350528,3.742529182,3.676190949,3.766130562,3.983854703,3.720344856,3.696215086,3.663382933,3.660117321,3.838906929,3.930368604,4.035154455,4.055962619,4.388842137,4.169167977,5.111505767,5.391102438,5.408251492,5.754662742,5.974483362,6.505452818,6.955437172,7.319235903,7.636767855,8.082133365,9.340560814,10.05185393,10.16339302,10.68880313,11.54875109,11.64395256,11.59127929,12.31374384,12.94147212,13.49958376,15.17497139,15.51999176,16.93060835,17.1381175,17.66430321,16.18529233,17.05313869,17.35393984,17.76705269
BFA,Burkina Faso,6.308648225,6.341549646,6.005184767,5.715164342,5.873556312,6.038292561,6.209617975,6.373831645,6.613532795,6.916216759,7.119811358,7.412902383,7.799015912,8.05426156,8.260650395,9.183722055,9.537378053,9.901642104,10.20271547,10.44370957,11.30667898,11.89766482,12.02204279,12.31443411,12.70613261,13.12833646,13.54332625,14.03616695,14.45689243,13.84197054,14.18097057,15.85293598,16.24077726,19.54861027,19.80926284,20.47672344,20.95317904,21.82311512,22.97024925,23.47546842,24.3235874,24.9905409,25.95451357,26.97050311,27.29233295,29.00997735,29.87290024,30.99999872,32.60261532,33.77474807,30.195244,35.43688804,35.74263518,34.59211711,34.91774636
BGD,Bangladesh,51.00477141,49.79109111,50.53629614,51.01621234,51.50918617,54.36868586,55.19508946,56.8075555,60.91617053,63.55082838,56.7761951,57.73138808,59.78203353,60.12287653,61.3368166,63.63975354,66.1733868,67.76433319,69.94920772,73.35628511,74.87446747,74.98618634,77.64912131,79.41477334,82.33946261,88.46017652,89.97175014,92.5166026,93.61626547,98.30356668,100.3525967,106.952253,110.0242763,112.9936214,115.5866958,119.6730676,124.1989476,128.7306444,135.7709476,140.7132594,148.3305519,153.3106148,158.7051814,161.7984403,168.3119659,177.4622847,186.2098142,195.4505584,200.5389583,205.7443662,202.7429038,219.3649833,222.9793559,215.833653,220.8267208
BGR,Bulgaria,89.31911644,89.86460933,92.77799836,93.89725613,94.78538877,101.2826274,102.1283212,105.0979162,111.254211,115.2134514,118.7173176,115.1065958,117.1429685,116.0442165,114.0234263,115.4923395,116.5199719,116.5892722,115.8796601,113.9696947,100.7546175,83.49424914,78.7044666,77.43504628,73.89810441,74.81972436,75.42007909,72.52017209,69.56598712,62.50670544,60.86456326,62.8499723,59.56128062,65.69688784,64.06247279,64.97737736,66.25187567,70.03419353,66.92475569,58.66413328,61.6397103,67.30194424,62.43532258,57.04642212,60.52574395,62.7185803,60.3088917,62.56828989,59.35961311,57.79355351,52.58253794,59.17193945,62.74319686,49.66466567,46.67657436
BHR,Bahrain,18.65970012,18.82090394,19.67631203,20.96171666,22.47907417,20.21092525,21.14297242,24.09930778,23.87627244,24.69222963,24.55222829,24.7297665,24.85477396,24.55002958,24.68971184,25.34072175,27.71458617,27.1124639,28.09937089,28.33241928,29.06650208,28.6159878,32.82740079,34.93095026,34.87731432,34.73846611,36.05759946,33.45156097,34.97141121,37.02865161,37.58649034,38.60968848,38.11301803,37.75971115,37.69489602,41.15232534,42.76966781,43.8799101,47.36920004,47.95216032,48.29422545,48.66251482,52.42562178,56.99491937,58.81569808,59.0053111,59.23952844,59.07591275,59.12878887,63.03720858,63.24634666,63.50617439,64.9133503,64.90221299,64.42217709
BHS,Bahamas,1.559741792,1.594251566,1.859471756,1.856046381,1.63833202,1.679420018,1.503301897,1.657837545,1.681993713,1.73127449,1.709653956,1.52866559,1.286875952,0.993972373,0.98457726,0.896536641,0.93630146,1.07823032,1.102799433,1.264596552,1.307159094,1.202051033,1.0671124,1.094577357,1.194663501,1.356608296,1.496366201,1.510781145,1.711847777,1.562707764,1.258417548,1.259066205,1.359898372,1.081109464,1.155205284,1.145328172,1.388559193,1.616903441,1.669106707,1.436508375,1.592771597,1.170505876,1.33749783,1.420071596,1.466648092,1.453850521,1.584563249,1.721603636,1.553922765,1.806385718,1.530731471,1.815216401,1.780025752,1.789064743,1.843872618
BIH,Bosnia and Herzegovina,16.13352265,16.48765286,16.12035039,17.34096323,18.74150014,19.29930641,19.28807321,19.86486328,20.66338997,21.39444554,20.7964025,22.88628177,23.91845922,25.35943235,26.41285791,27.48327266,28.33687495,26.78004383,27.00101274,27.30306698,32.87180583,29.79112853,22.87634386,19.56835619,6.551437804,6.56494201,7.258565158,12.5596284,15.71877663,16.1431848,19.86754419,19.40512761,20.50384525,20.92076551,22.43376228,23.18114552,25.35591823,26.61274524,28.07494678,27.86050048,28.40902035,31.69636037,29.63932954,29.40294587,27.88598129,27.84637112,31.25250192,31.85224197,32.25590189,30.55297538,30.47485636,30.35171353,30.0732975,28.19944953,27.62666427
BLR,Belarus,94.13829493,95.32184151,100.4314275,107.3734381,114.2105211,120.4855794,124.249179,127.4336407,131.6297954,135.1764545,138.7391706,140.4758615,141.3571729,142.541704,142.4358798,142.5969911,143.042042,143.9280538,141.7381677,138.4979932,144.9712843,140.0917287,128.470016,114.3185663,100.7619939,92.07188524,91.93173069,91.9172328,90.2920197,87.7398377,84.98025532,83.5991526,83.4517808,83.82546079,87.2357834,87.96243112,90.82913643,89.57934538,96.34270807,93.48394333,98.52214227,96.13635407,97.81611938,98.19572885,97.4739137,92.587981,91.70338023,93.45912569,96.67753875,94.42817121,91.71811316,91.89157107,89.20303397,86.93305367,87.49136123
BLZ,Belize,0.241459962,0.255904321,0.273655381,0.280258337,0.281874913,0.299636684,0.294262672,0.310020465,0.314065746,0.315720856,0.319184841,0.315384151,0.315750813,0.340974701,0.332585747,0.330999091,0.358005999,0.345310422,0.33687653,0.377365439,0.437392483,0.455336426,0.454413034,0.433871247,0.437133715,0.419304458,0.401560067,0.495714632,0.516390273,0.535904057,0.471111453,0.492740459,0.505450475,0.534617315,0.513927929,0.537701128,0.631533395,0.659478767,0.671270955,0.729255068,0.770929611,0.741410009,0.716328861,0.780821583,0.736609721,0.790419435,0.814719286,0.856257919,0.856875585,0.991063968,0.917540128,0.942251271,0.973395904,1.001166694,1.034684117
